Country Name,Aerials Won per game,Deep Completions per game,Dribbles per game,Fouled per game,Fouls per game,Interceptions per game,NPxG per game,NPxGA per game,Offsides per game,Opponent Deep Completions per game,Opponent-PPDA per game,PPDA per game,Pass%,Possession%,Shots On Target per game,Shots conceded per game,Shots per game,Tackles per game,Total Goals,xG per game,xGA per game
AC Milan,13.4,6.71,9.1,12.6,11.7,9.8,1.29,1,1.7,5.11,12.41,11.17,85.6,53.4,5.2,12.3,15.4,16.9,55,1.37,1.1
Alaves,23.6,3.39,7.2,13.1,14.5,10.3,1.02,1.32,1.5,7.11,6.72,10.51,70.8,44.6,3.2,13.2,11.3,16.9,39,1.08,1.44
Amiens,19.5,3.84,6.7,13.7,13.7,10.3,0.85,1.05,1.7,5.61,8.87,10.55,75.9,47.3,3.1,13.2,10.2,16.6,31,0.91,1.23
Angers,16.8,4.97,8.3,11.7,11.8,11.1,1.05,1.12,1.3,5.37,9.53,15.42,79.2,44.8,4.1,12.1,11.9,17.7,44,1.25,1.22
Arsenal,14.9,10.53,8,12,10.8,10.8,1.61,1.37,2.3,6.66,12.79,9.47,83.3,56.1,4.5,13.1,12.3,16,73,1.71,1.51
Atalanta,16.8,9.66,9.6,13.2,11.7,12,1.88,1,1.9,4.32,12.62,8.56,84,55.7,5.8,10.9,16.9,16.8,77,1.96,1.1
Athletic Bilbao,25.3,5.82,7.6,12.9,15.3,11.9,1.02,1.14,1.9,4.87,10.54,7.97,76.9,49.7,3.7,10.4,10.2,16.9,41,1.17,1.24
Atletico Madrid,18.2,6.63,9.6,11.9,12.5,12.2,1.28,0.99,2.1,5,10.29,10.3,80.6,49.3,4.2,11.4,11.7,20.6,55,1.37,1.09
Augsburg,20,5.35,6.4,10.3,13.5,13.7,1.28,1.83,2.5,7.82,10.33,10.89,74.5,46.8,4.8,15.3,13.4,17.4,51,1.4,1.88
Barcelona,12.1,10.97,11.7,14.5,10.8,10.3,2.02,1.14,2.7,4.5,15.24,8.43,88.3,61.4,6.7,10.8,14.7,14.1,90,2.19,1.18
Bayer Leverkusen,16.6,8.47,9.6,11.3,10.8,10.5,1.7,1.21,1.9,4.85,14.16,9.39,84.4,57.7,5.8,11.4,15.2,17.1,69,1.81,1.34
Bayern Munich,15.7,12.79,12.5,10.1,9.2,9.9,2.62,0.67,2.6,2.62,22.59,8.16,87.5,62.2,7.6,7.6,18.7,13.7,88,2.71,0.81
Bologna,20.3,5.26,7.2,13.7,13.6,9.7,1.17,1.26,2.2,6.26,8.44,11.33,77.9,46.2,4.3,14.2,13.2,18.1,48,1.27,1.34
Bordeaux,18.1,4.18,9.1,13.1,14.3,10.3,0.86,1.23,1.6,4.95,9.73,10.21,80.3,50.2,3.6,13.1,11.2,18.9,34,0.98,1.37
Borussia Dortmund,14,7.88,12.9,11.3,8.6,11.3,1.82,1.15,1.9,4.68,14.03,13.42,86,56.8,5.4,10.3,13.2,14.6,81,1.91,1.26
Borussia M.Gladbach,13.2,6.97,8.3,10.5,9.8,9.1,1.46,1.49,2.1,6.68,16.59,15.15,84.3,52.3,4.7,13.3,13.5,14.7,55,1.62,1.56
Bournemouth,18.8,7.37,7.7,11.6,8.9,9.8,1.37,1.54,1.5,8.24,10.3,15.34,78.1,47.7,4.3,13.7,11.7,13.8,56,1.55,1.64
Brighton,22,4.03,7.1,7.9,12.2,12.2,0.85,1.44,2.4,8.45,10.15,13.63,74.8,44.1,2.8,15.3,9.8,17.9,35,0.97,1.64
Burnley,27.6,5.08,5.4,9.4,9.5,9.7,1.14,1.68,2.8,8.29,10.16,13.58,70.3,43.4,3.1,17.2,9.5,15.4,45,1.18,1.74
Caen,21.1,2.58,7.1,13.2,14.7,12.9,0.63,1.45,1.3,5.89,8.47,11.86,76.4,45.8,2.6,14.3,8.8,18.7,29,0.71,1.61
Cagliari,23.1,5.16,4.7,11.9,15.1,9,1.02,1.48,1.5,7.68,12.03,9.88,79,49.4,3.3,15.6,11.5,15.9,36,1.08,1.68
Cardiff,25.8,3.76,6.8,10.3,9.8,13.9,1.02,1.61,2,9.39,5.65,14.64,63.9,39.1,3.3,15,11,17.2,34,1.1,1.75
Celta Vigo,18,5.13,10,12.7,12.1,10.1,1.14,1.53,2.4,6.53,10.89,10.35,81.8,51.5,4.2,12.6,11.9,16.7,53,1.28,1.67
Chelsea,14,9.89,11.8,11.2,8.9,9.3,1.58,0.96,2.2,4.95,14.84,9.79,87.6,59.9,5.2,9.2,16,16.3,63,1.68,1
Chievo,19.2,3.87,5.3,12.5,15.5,12.4,0.84,1.57,2.1,7.79,10.27,12.51,78.1,44.7,3.1,15.7,10.3,16.4,25,0.96,1.65
Crystal Palace,18.1,6.74,9.9,10.3,10.2,11.7,1.11,1.29,2.1,6.87,8.78,14.16,76.8,46.6,3.9,13.8,13,19.3,51,1.33,1.39
Dijon,19.2,5.24,9.2,11.7,15.1,12.7,0.87,1.46,1.6,5.63,10.01,10.26,78.2,48.3,3.8,14.3,12,17.7,31,0.95,1.52
